"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"84","306.4899578542472","144.74445732272065","4.679690940362013","-0.31137294267603616","0.006099999999999994","0.007000000000000006","0.0052","1300","0.00010947925306166021","0","0.00010947925306166021","0.00010947925306166021","84_83:0.006774886740710168","84_83:660","true"
"85","79.92137749762304","105.94120274811817","5.104778792840738","-0.3061413803895981","0.010299999999999976","0.010800000000000032","0.0098","1300","0.00036203983740437255","0","0.00036203983740437255","0.00036203983740437255","85_84:0.01438936610720326;85_73:0.006260298442914952;85_86:0.010179649520332734","85_84:1100;85_73:660;85_86:660","true"
"86","80.42665192403817","117.73189534426585","4.89881423714405","-0.3083187869423004","0.03970000000000007","0.0442","0.03520000000000001","1300","0.0002660747328234892","0","0.0002660747328234892","0.0002660747328234892","86_87:0.008645232399533687","86_87:660","true"
"87","215.13375681720953","189.30234440859755","4.992090074028605","-0.307423102897223","0.017100000000000004","0.0208","0.013399999999999967","1300","0.0005061542212987268","0","0.0005061542212987268","0.0005061542212987268","87_88:0.016059554481115373","87_88:660","true"
"88","190.11432859769783","139.72125244009837","5.09937675419546","-0.3058997453558384","0.008099999999999996","0.006199999999999983","0.01","1300","0.00020602027737989863","0","0.00020602027737989863","0.00020602027737989863","88_89:0.007923864139063708","88_89:660","true"
"89","365.3159587690196","135.62923790505445","4.956490825555376","-0.3077261951848229","0.014100000000000001","0.012","0.016199999999999992","1300","0.00024434643985832104","0","0.00024434643985832104","0.00024434643985832104","","","true"
"90","216.61008319612316","73.68580635786704","4.905589360978312","-0.307867793738734","0.011300000000000088","0.011","0.011600000000000055","1300","0.0004277986872607573","0","0.0004277986872607573","0.0004277986872607573","","","true"
"91","272.24309347593453","255.10706351394273","4.914641031916575","-0.30850221183732857","0.04259999999999997","0.06399999999999995","0.0212","1300","0.0007221824032661825","0","0.0007221824032661825","0.0007221824032661825","91_79:0.008826505467305179","91_79:660","true"
"92","212.68911562000454","120.11169735933099","4.91209831011135","-0.308588011384664","0.009200000000000097","0.0128","0.005600000000000049","1300","0.0003000984125971044","0","0.0003000984125971044","0.0003000984125971044","92_102:0.008044929152318248","92_102:660","true"
"93","225.18718129133165","97.95659109753726","4.964128684832499","-0.3073815906362206","0.033299999999999996","0.0396","0.027000000000000024","1300","0.0005969360748034749","0","0.0005969360748034749","0.0005969360748034749","93_87:0.01750521894213175;93_106:0.010164407486164512","93_87:740;93_106:660","true"
"94","165.00882035869685","149.5497466398814","4.975880949420979","-0.3076458715160733","0.010699999999999932","0.0102","0.011199999999999988","1300","0.00017619756472683155","0","0.00017619756472683155","0.00017619756472683155","94_90:0.007422578330790686;94_95:0.011592398458072278","94_90:660;94_95:660","true"
"95","42.78411532372176","58.65989218237156","4.8388880176376885","-0.3098764431196092","0.013400000000000079","0.019000000000000017","0.0078","1300","0.0005194243631961579","0","0.0005194243631961579","0.0005194243631961579","95_96:0.013304928475270122","95_96:660","true"
"96","213.81188969674798","93.6348234414471","4.747911397990863","-0.3109191907797597","0.035699999999999954","0.03759999999999997","0.0338","1300","0.00029225710201785725","0","0.00029225710201785725","0.00029225710201785725","","","true"
"97","254.6562245633593","119.33280117981948","4.816155515549707","-0.3095561501235201","0.020399999999999974","0.007800000000000029","0.033","1300","0.000203902700761229","0","0.000203902700761229","0.000203902700761229","97_98:0.00805415564216208;97_96:0.009048754663189384","97_98:660;97_96:660","true"
"98","96.51993139851466","22.926828053394985","4.942901833015315","-0.308363471215884","0.02210000000000001","0.030000000000000027","0.0142","1300","0.0008225461583686953","0","0.0008225461583686953","0.0008225461583686953","98_91:0.020354745067177438","98_91:660","true"
"99","120.41092577961138","131.60947711537042","5.060106822614226","-0.30553728570536653","0.007800000000000029","0.0096","0.006000000000000005","1300","0.0003194401845877126","0","0.0003194401845877126","0.0003194401845877126","99_98:0.01002341609459595","99_98:660","true"
